Body Name,Business Area and Description,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,1005,Adult Social Care,Supported Accommodation,02/12/2024,1908658234,SLC Paragon,"£10,665.20"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,16/12/2024,1908673740,CenturyPlus Ltd,"£10,651.82"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677496,Littleways Day Nursery,"£10,623.15"
Manchester City Council,1000,Manchester Leisure,Refuse Collection,12/12/2024,5105964736,Biffa Municipal Limited,"£10,591.15"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,13/12/2024,1908673181,Progressive Care Ltd,"£10,590.00"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,02/12/2024,1908658232,Mediline Supported Living,"£10,589.04"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677461,Happy Tots Nursery,"£10,579.61"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679684,Achieve Together Limited,"£10,572.00"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,16/12/2024,1908673737,Gian Healthcare Ltd,"£10,554.64"
Manchester City Council,1000,Manchester Leisure,Payments to Sub-Contractors,23/12/2024,5105967722,M247 UK Ltd,"£10,508.27"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678151,Georgie Porgie's Network Nursey Ltd,"£10,485.48"
Manchester City Council,1000,Manchester Leisure,Grant and subscriptions awarded,11/12/2024,5105964546,LGBT Foundation,"£10,484.33"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677774,Network Nurseries Limited,"£10,483.38"
Manchester City Council,1005,Adult Social Care,Personal needs of client,03/02/2025,5105965737,Hoist & Shower Chair Company,"£10,468.75"
Manchester City Council,1004,Childrens & Education Services,Carer Support Payments ,06/12/2024,5105964634,Care Solutions Recruitment,"£10,467.60"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,09/12/2024,1908665290,Ordinary Lifestyles,"£10,466.32"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,24/12/2024,1908684537,Ordinary Lifestyles,"£10,466.32"
Manchester City Council,1000,Manchester Leisure,Professional fees,02/01/2025,5105967740,Eville & Jones Commercial Services,"£10,465.00"
Manchester City Council,1002,Hospitality + Trading Services,Electricity,12/12/2024,1908671103,Haven Power Ltd,"£10,426.46"
Manchester City Council,1002,Hospitality + Trading Services,Electricity,12/12/2024,1908671105,Haven Power Ltd,"£10,413.36"
Manchester City Council,1005,Adult Social Care,RNH Permanent Pays,20/12/2024,1908679593,Moston Grange,"£10,376.40"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678140,Early Days Day Nursery,"£10,359.77"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679690,SignHealth,"£10,352.00"
Manchester City Council,1013,Highways Services,Professional fees,23/12/2024,5105967057,Constellia Public Ltd,"£10,349.29"
Manchester City Council,1000,Manchester Leisure,Grant and subscriptions awarded,19/12/2024,5105966448,Oldham Borough Council,"£10,348.62"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679413,Doves Nest Ltd,"£10,336.44"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679279,National Neurological Services Ltd,"£10,334.80"
Manchester City Council,1013,Highways Services,Professional fees,04/12/2024,5105964062,Waterman Infrastructure and,"£10,332.66"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679752,Redacted Personal Information,"£10,327.80"
Manchester City Council,1011,Chief Executives,Advertising,06/12/2024,5105964705,Reach Publishing Services Ltd,"£10,324.17"
Manchester City Council,1000,Manchester Leisure,Security,12/12/2024,5105965745,Wythenshawe Forum Trust Ltd,"£10,310.40"
Manchester City Council,1006,Childrens Services,Works and associated costs for Land and Buildings,04/12/2024,5105963851,Manchester & Cheshire Construction,"£10,307.42"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678111,Brighter Beginnings Charlestown,"£10,307.40"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679474,Stockdales,"£10,293.28"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679516,Age Concern Manchester,"£10,273.04"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,09/12/2024,1908665194,Future Directions CIC,"£10,251.08"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678115,Brighter Beginnings Wetherby,"£10,234.07"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,03/12/2024,1908658743,Standwalk Ltd,"£10,233.30"
Manchester City Council,1007,Corporate Services,Water - Metered,20/12/2024,1908680491,Anglian Water Business (National),"£10,233.08"
Manchester City Council,1003,Environment and Operations,Construction Works,23/12/2024,5105965862,J.Hopkins (Contractors) Ltd.,"£10,230.55"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,06/12/2024,1908663001,The Together Trust,"£10,226.00"
Manchester City Council,1000,Manchester Leisure,Grant and subscriptions awarded,19/12/2024,5105964845,Bolton Mbc,"£10,215.83"
Manchester City Council,1004,Childrens & Education Services,Foster Payments,09/12/2024,1908666842,Oldham Borough Council,"£10,207.52"
Manchester City Council,1005,Adult Social Care,RNH Permanent Pays,20/12/2024,1908679751,Yorklea Nursing Home,"£10,202.20"
Manchester City Council,1004,Childrens & Education Services,Payments for services,13/12/2024,5105965873,HM Prison and Probation Service,"£10,199.00"
Manchester City Council,1004,Childrens & Education Services,Payments for services,13/12/2024,5105965870,HM Prison and Probation Service,"£10,199.00"
Manchester City Council,1004,Childrens & Education Services,Payments for services,13/12/2024,5105965868,HM Prison and Probation Service,"£10,199.00"
Manchester City Council,1004,Childrens & Education Services,Payments for services,13/12/2024,5105965971,HM Prison and Probation Service,"£10,199.00"
Manchester City Council,1004,Childrens & Education Services,Payments for services,13/12/2024,5105965959,HM Prison and Probation Service,"£10,199.00"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,16/12/2024,1908673737,Gian Healthcare Ltd,"£10,191.88"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677468,Honeybear Day Nursery,"£10,187.77"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677503,Maple House Day Nursery,"£10,187.77"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679265,Care Tech Community Services Ltd,"£10,145.08"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678142,Early Inspirations Nursery,"£10,129.32"
Manchester City Council,1000,Manchester Leisure,Grant and subscriptions awarded,19/12/2024,5105967375,The Booth Centre,"£10,121.08"
Manchester City Council,1002,Hospitality + Trading Services,Electricity,12/12/2024,1908671104,Haven Power Ltd,"£10,109.99"
Manchester City Council,1007,Corporate Services,Bank Charges,16/12/2024,1908673350,Access Paysuite Limited,"£10,103.01"
Manchester City Council,1000,Manchester Leisure,Bed & Breakfast Acc,10/01/2025,5105964953,AJD Property Limited,"£10,101.57"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677551,Simply Cherish Day Nursery,"£10,100.70"
Manchester City Council,1013,Highways Services,Professional Fees,04/12/2024,5105963836,Hydrock,"£10,100.00"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,10/12/2024,5105964935,Mace Ltd,"£10,086.15"
Manchester City Council,1005,Adult Social Care,RNH Permanent Pays,20/12/2024,1908679434,Wilshire Healthcare Ltd,"£10,043.04"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,02/12/2024,1908658131,Creative Support Ltd,"£10,042.20"
Manchester City Council,1000,Manchester Leisure,Electricity,12/12/2024,1908671151,Haven Power Ltd,"£10,039.52"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,18/12/2024,5105966777,Keys PCE Limited,"£10,038.00"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,09/12/2024,1908665207,Future Directions CIC,"£10,036.64"
Manchester City Council,1005,Adult Social Care,Temp Care- Resident,03/12/2024,1908658754,Voyage 1,"£10,021.14"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678257,Your Nursery Ltd,"£10,014.10"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677532,Park View Day Nursery,"£10,013.62"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,09/12/2024,1908665211,Future Directions CIC,"£10,002.16"
Manchester City Council,1007,Corporate Services,Professional Fees,05/02/2025,5105967447,Trustmarque Solutions Ltd,"£10,000.00"
Manchester City Council,1005,Adult Social Care,RNH Permanent Pays,20/12/2024,1908679673,Springcare (Wythenshaw) LTD,"£10,000.00"
Manchester City Council,1011,Chief Executives,Professional Fees,23/12/2024,5105967795,Sanderson Weatherall,"£10,000.00"
Manchester City Council,1005,Adult Social Care,Day Care Payments,05/12/2024,5105964393,Age UK Manchester,"£10,000.00"
Manchester City Council,1000,Manchester Leisure,Third party payments relating to Voluntary Organisations,11/12/2024,5105964449,Waythrough,"£10,000.00"
Manchester City Council,1012,Regeneration Finance,Grant and subscriptions awarded,24/12/2024,5105968133,Step Up MCR,"£10,000.00"
Manchester City Council,1002,Hospitality + Trading Services,Equipment,05/12/2024,5105964298,DP Structures Ltd,"£10,000.00"
Manchester City Council,1007,Corporate Services,Vehicle Plant Furniture and Equipment,12/12/2024,5105966024,H Jenkinson & Co Ltd.,"£9,999.16"
Manchester City Council,1004,Childrens & Education Services,Grant and subscriptions awarded,19/12/2024,5105967182,Zion Arts Centre Ltd,"£9,996.00"
Manchester City Council,1012,Regeneration Finance,Public Transport,09/12/2024,5105963888,Greater Manchester Travelcards Ltd,"£9,996.00"
Manchester City Council,1012,Regeneration Finance,Public Transport,09/12/2024,5105963890,Greater Manchester Travelcards Ltd,"£9,996.00"
Manchester City Council,1012,Regeneration Finance,Public Transport,09/12/2024,5105963889,Greater Manchester Travelcards Ltd,"£9,995.00"
Manchester City Council,1005,Adult Social Care,RNH Permanent Pays,20/12/2024,1908679468,Gorton Parks Res.& Nursing Home,"£9,994.20"
Manchester City Council,1012,Regeneration Finance,Stationery,17/12/2024,5105966356,Vitalize Consultancy,"£9,966.00"
Manchester City Council,1004,Childrens & Education Services,Grant and subscriptions awarded,17/12/2024,5105966480,Across Ummah CIC,"£9,953.00"
Manchester City Council,1000,Manchester Leisure,Professional fees,11/12/2024,1908656259,Savills (UK) Ltd,"£9,948.00"
Manchester City Council,1013,Highways Services,Professional Fees,14/01/2025,5105968173,Hydrock,"£9,945.00"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,05/12/2024,5105964360,Eversheds Llp,"£9,944.00"
Manchester City Council,1000,Manchester Leisure,Reuse credits,12/12/2024,5105964737,Biffa Municipal Limited,"£9,927.85"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,02/12/2024,1908658237,SLC Paragon,"£9,916.92"
Manchester City Council,1000,Manchester Leisure,Professional fees,16/12/2024,5105965472,Phar Partnership Limited,"£9,912.50"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679365,Stockport Cerebral Palsy Society,"£9,910.04"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,06/12/2024,5105964614,David Lewis Organisation,"£9,908.47"
Manchester City Council,1004,Childrens & Education Services,Court Fees,17/12/2024,1908674419,Liberata,"£9,890.00"
Manchester City Council,1004,Childrens & Education Services,Transport Coach Hire,19/12/2024,5105967110,Parkway Cabs & Cars,"£9,868.50"
Manchester City Council,1012,Regeneration Finance,Professional fees,20/12/2024,5105967769,CW Studio,"£9,850.00"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679274,Acacia Lodge Care Home,"£9,847.76"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679427,Claremont Care Homes,"£9,846.12"
Manchester City Council,1004,Childrens & Education Services,Carer Support Payments ,20/12/2024,5105967431,Care Solutions Recruitment,"£9,793.30"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,09/12/2024,1908665031,Achieve Together Limited,"£9,792.68"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,23/12/2024,1908682379,Achieve Together Limited,"£9,792.68"
Manchester City Council,1002,Hospitality + Trading Services,Electricity,12/12/2024,1908671106,Haven Power Ltd,"£9,789.72"
Manchester City Council,1000,Manchester Leisure,Professional fees,10/12/2024,5105964812,Constellia Public Ltd,"£9,788.72"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,02/12/2024,1908658138,Creative Support Ltd,"£9,774.28"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,24/12/2024,1908684540,Ordinary Lifestyles,"£9,771.24"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,09/12/2024,1908665293,Ordinary Lifestyles,"£9,771.24"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679679,Park Crescent Care Home,"£9,768.00"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679470,Griffin Lodge,"£9,711.28"
Manchester City Council,1010,Housing Revenue Account,Council Dwelling Fees,13/12/2024,5105965305,Nova Group Ltd,"£9,700.80"
Manchester City Council,1005,Adult Social Care,Supporting People Payments,20/12/2024,5105966490,Making Space,"£9,682.71"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,13/12/2024,5105965954,Strive Academy,"£9,680.00"
Manchester City Council,1013,Highways Services,Professional fees,09/12/2024,5105963936,Mace Ltd,"£9,674.33"
Manchester City Council,1005,Adult Social Care,RNH Permanent Pays,20/12/2024,1908679284,Alexandra Lodge Care Centre Ltd,"£9,666.12"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,02/12/2024,1908658151,Creative Support Ltd,"£9,660.64"
Manchester City Council,1005,Adult Social Care,Home Care ,09/12/2024,1908665684,Care 24 (UK) Limited,"£9,660.00"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677568,Tiddlywinks Nursery-Clayton No.4 Ac,"£9,650.81"
Manchester City Council,1004,Childrens & Education Services,Transport Coach Hire,03/12/2024,5105963901,MCR Blackcab Ltd,"£9,637.30"
Manchester City Council,1005,Adult Social Care,Temp Care- Resident,20/12/2024,1908679532,Redacted Personal Information,"£9,630.52"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678110,Brighter Beginnings Rusholme,"£9,626.52"
Manchester City Council,1005,Adult Social Care,RNH Permanent Pays,20/12/2024,1908679284,Alexandra Lodge Care Centre Ltd,"£9,622.04"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677479,Kenwood Day Nursery,"£9,621.79"
Manchester City Council,1010,Housing Revenue Account,Gas,20/12/2024,1908680851,SEFE ENERGY Ltd,"£9,614.88"
Manchester City Council,1010,Housing Revenue Account,Water - Metered,29/01/2025,1908681172,United Utilities Water Plc,"£9,614.88"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679573,Care Concepts Ltd,"£9,611.32"
Manchester City Council,1005,Adult Social Care,RNH Permanent Pays,20/12/2024,1908679321,Beechill Nursing Home,"£9,600.00"
Manchester City Council,1005,Adult Social Care,RNH Permanent Pays,20/12/2024,1908679658,Polefield Nursing Home,"£9,600.00"
Manchester City Council,1000,Manchester Leisure,I T Provision,17/12/2024,5105966555,Upland Software UK Ltd,"£9,585.00"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678240,Tiddlywinks Day Nursery Ltd,"£9,584.62"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,09/12/2024,1908665267,City Care Partnership Ltd,"£9,548.40"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,23/12/2024,1908682449,City Care Partnership Ltd,"£9,548.40"
Manchester City Council,1007,Corporate Services,Vehicle Plant Furniture and Equipment,12/12/2024,5105965944,H Jenkinson & Co Ltd.,"£9,540.15"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678179,Redacted Personal Information,"£9,521.77"
Manchester City Council,1005,Adult Social Care,RNH Permanent Pays,20/12/2024,1908679599,Next Steps,"£9,490.60"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679353,Brownlow House,"£9,480.00"
Manchester City Council,1000,Manchester Leisure,Special Event,16/12/2024,5105965658,Bridge,"£9,450.00"
Manchester City Council,1005,Adult Social Care,Temp Care - Nursing,20/12/2024,1908679573,Care Concepts Ltd,"£9,444.20"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,19/12/2024,5105967195,Kingfisher Special School,"£9,444.00"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,23/12/2024,1908682397,Future Directions CIC,"£9,399.63"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677815,Kids Around The Clock,"£9,396.07"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,09/12/2024,1908665239,City Care Partnership Ltd,"£9,386.06"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,23/12/2024,1908682422,City Care Partnership Ltd,"£9,386.06"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,09/12/2024,1908665306,Integrate (Preston & Chorley) Ltd,"£9,383.84"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,19/12/2024,5105967228,New Bridge School,"£9,366.81"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,19/12/2024,5105967234,New Bridge School,"£9,366.81"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679355,Byron Lodge,"£9,355.68"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,24/12/2024,1908684536,Ordinary Lifestyles,"£9,349.48"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,23/12/2024,1908682459,Ordinary Lifestyles,"£9,349.48"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,23/12/2024,1908682458,Ordinary Lifestyles,"£9,349.48"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,09/12/2024,1908665289,Ordinary Lifestyles,"£9,349.48"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677570,Tiddlywinks Day Nursery,"£9,331.54"
Manchester City Council,1005,Adult Social Care,Payments for services,06/12/2024,5105964499,Slimming World,"£9,330.00"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679673,Springcare (Wythenshaw) LTD,"£9,300.00"
Manchester City Council,1004,Childrens & Education Services,Foster Payments,20/12/2024,1908679946,Museums Association,"£9,296.14"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,19/12/2024,5105967291,Aquinas College,"£9,295.00"
Manchester City Council,1005,Adult Social Care,RNH Permanent Pays,20/12/2024,1908679338,Bradley House,"£9,290.72"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679350,Brookfield Care Home Ltd,"£9,257.04"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679261,Gian Healthcare Ltd,"£9,256.28"
Manchester City Council,1005,Adult Social Care,RNH Permanent Pays,20/12/2024,1908679770,Homesend Ltd,"£9,254.28"
Manchester City Council,1000,Manchester Leisure,Rents,19/12/2024,5105967387,Redacted Personal Information,"£9,247.26"
Manchester City Council,1005,Adult Social Care,Temp Care - Nursing,20/12/2024,1908679366,Cherry Tree House,"£9,222.86"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677861,Paint Pots (Manchester) Ltd,"£9,218.00"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679374,Chestnut House Care Home,"£9,200.00"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,23/12/2024,1908682439,City Care Partnership Ltd,"£9,188.08"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,09/12/2024,1908665257,City Care Partnership Ltd,"£9,188.08"
Manchester City Council,1004,Childrens & Education Services,Payments for services,16/12/2024,5105966263,HM Prison and Probation Service,"£9,184.00"
Manchester City Council,1000,Manchester Leisure,Electricity,10/01/2025,5105964387,Switch2 Energey Limited,"£9,165.87"
Manchester City Council,1005,Adult Social Care,Home Care ,09/12/2024,1908666814,Chrysalis Home Care Group Ltd,"£9,148.63"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,23/12/2024,1908682665,Autism Initiatives UK,"£9,137.44"
Manchester City Council,1013,Highways Services,Professional fees,04/12/2024,5105964061,Waterman Infrastructure and,"£9,129.60"
Manchester City Council,1000,Manchester Leisure,Equipment,20/12/2024,5105966464,Cromwell Polythene Limited,"£9,128.00"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677814,Kids Start Ltd,"£9,123.72"
Manchester City Council,1003,Environment and Operations,Construction Works,23/12/2024,5105965995,J.Hopkins (Contractors) Ltd.,"£9,118.23"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679468,Gorton Parks Res.& Nursing Home,"£9,113.52"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678083,Moor Allerton Preparatory School,"£9,111.05"
Manchester City Council,1007,Corporate Services,Gas,12/12/2024,1908671193,M\cr Heat Network Supply Co Ltd,"£9,102.11"
Manchester City Council,1012,Regeneration Finance,Home Care ,19/12/2024,1908678283,WMB Born2reign Day Nursery,"£9,101.50"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679374,Chestnut House Care Home,"£9,100.00"
Manchester City Council,1004,Childrens & Education Services,Third party payments to Health Authority,10/12/2024,5105964895,Manchester Uni NHS Foundation Trust,"£9,100.00"
Manchester City Council,1010,Housing Revenue Account,CD - Acquisition,19/12/2024,1908679229,H M Revenues and Customs,"£9,100.00"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678187,Manchester Settlement,"£9,086.01"
Manchester City Council,1000,Manchester Leisure,Third party payments relating to Voluntary Organisations,02/01/2025,5105967127,Greater Manchester Mental Health,"£9,061.00"
Manchester City Council,1004,Childrens & Education Services,Transport Coach Hire,08/01/2025,5105967175,AA Buses,"£9,040.00"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678210,Paint Pots (Manchester) Ltd,"£9,039.92"
Manchester City Council,1005,Adult Social Care,Supporting People Payments,20/12/2024,5105964489,Turning Point (Services) Limited,"£9,039.67"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,23/12/2024,1908682396,Future Directions CIC,"£9,023.20"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,23/12/2024,1908682457,Ordinary Lifestyles,"£9,015.57"
Manchester City Council,1004,Childrens & Education Services,Pay School Budget,19/12/2024,1908678098,Armitage CE Primary School,"£9,006.40"
Manchester City Council,1004,Childrens & Education Services,Home Care ,20/12/2024,1908679949,Positive Care Solutions Ltd,"£9,000.00"
Manchester City Council,1000,Manchester Leisure,Advertising,02/01/2025,5105967351,Clicky Media Ltd,"£9,000.00"
Manchester City Council,1004,Childrens & Education Services,Home Care ,09/12/2024,1908666890,Positive Care Solutions Ltd,"£9,000.00"
Manchester City Council,1003,Environment and Operations,Construction Works,09/12/2024,5105964748,Transport for Greater Manchester,"£9,000.00"
Manchester City Council,1012,Regeneration Finance,Professional fees,09/12/2024,5105964502,Building Design Partnership Limited,"£9,000.00"
Manchester City Council,1005,Adult Social Care,Personal needs of client,09/12/2024,5105964606,Supra UK Ltd,"£8,998.50"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677817,Monkey Puzzle Day Nursery,"£8,987.55"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677737,Brighter Beginnings Fallowfield,"£8,987.55"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,16/12/2024,5105964556,EQUANS Regeneration Limited,"£8,966.33"
Manchester City Council,1005,Adult Social Care,Temp Care- Resident,20/12/2024,1908679408,Voyage 1,"£8,962.08"
Manchester City Council,1005,Adult Social Care,Temp Care- Resident,20/12/2024,1908679409,Voyage 1,"£8,962.08"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678129,Crumpsall Playgroup,"£8,956.12"
Manchester City Council,1002,Hospitality + Trading Services,Electricity,12/12/2024,1908671102,Haven Power Ltd,"£8,950.43"
Manchester City Council,1011,Chief Executives,Payments to Sub-Contractors,24/12/2024,5105968112,Redacted Personal Information,"£8,947.73"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679761,Silverdale,"£8,933.76"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,23/12/2024,5105967961,Thompsons Academy LTD,"£8,925.00"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679392,Rose Petals Health care Ltd,"£8,924.00"
Manchester City Council,1000,Manchester Leisure,Professional fees,02/01/2025,5105967737,Eville & Jones Commercial Services,"£8,918.00"
Manchester City Council,1004,Childrens & Education Services,Transport Coach Hire,07/01/2025,5105967632,AA Buses,"£8,916.50"
Manchester City Council,1007,Corporate Services,Postage,19/12/2024,5105965319,Royal Mail Group Plc,"£8,913.20"
Manchester City Council,1002,Hospitality + Trading Services,Water - Metered,20/12/2024,1908680514,Anglian Water Business (National),"£8,904.54"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679353,Brownlow House,"£8,900.00"
Manchester City Council,1005,Adult Social Care,Temp Care- Resident,20/12/2024,1908679686,Redacted Personal Information,"£8,890.84"
Manchester City Council,1012,Regeneration Finance,I T Provision,11/12/2024,5105965160,Locata (Housing Services) Ltd,"£8,888.75"
Manchester City Council,1004,Childrens & Education Services,Transport Coach Hire,11/12/2024,5105965114,AFJ Ltd,"£8,880.00"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679659,Polonia Home,"£8,875.68"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908677783,Manchester Uni NHS Foundation Trust,"£8,872.32"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,20/12/2024,1908679804,Future Directions CIC,"£8,845.64"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,23/12/2024,1908682410,Future Directions CIC,"£8,845.64"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,09/12/2024,1908665212,Future Directions CIC,"£8,845.64"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,20/12/2024,1908679805,Future Directions CIC,"£8,845.64"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,09/12/2024,1908665292,Ordinary Lifestyles,"£8,841.12"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,24/12/2024,1908684539,Ordinary Lifestyles,"£8,841.12"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678214,Rainbow Nursery Manchester Ltd,"£8,819.95"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,19/12/2024,1908678082,The Big Life Company,"£8,818.54"
