Body Name,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Manchester Leisure,Electricity,10/10/2024,1700177821,Haven Power Ltd,-£946.64
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,18/10/2024,5105955771,City Plumbing Supplies Holdings Ltd,-£946.81
Manchester City Council,Adult Social Care,Perm Res Home Care,25/10/2024,1908616165,Redacted Personal Information,-£986.60
Manchester City Council,Adult Social Care,Perm Res Home Care,25/10/2024,1908616052,Beckdale House,-£987.20
Manchester City Council,Corporate Services,Stationery,23/10/2024,5105956340,Digital ID Ltd,"-£1,012.20"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178295,Averill House,"-£1,014.40"
Manchester City Council,Manchester Leisure,Special Event,02/10/2024,5105952425,Chevron Traffic Management Ltd,"-£1,024.00"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908616405,Thames Health Care Limited,"-£1,031.20"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,01/10/2024,1908590349,Thames Health Care Limited,"-£1,031.20"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178399,Wellington Healthcare (Arden) Ltd,"-£1,044.00"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178398,Wellington Healthcare (Arden) Ltd,"-£1,044.00"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178397,Wellington Healthcare (Arden) Ltd,"-£1,044.00"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178395,Wellington Healthcare (Arden) Ltd,"-£1,044.00"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178396,Wellington Healthcare (Arden) Ltd,"-£1,044.00"
Manchester City Council,Childrens & Education Services,Home Care ,11/10/2024,5105954586,Emotional and Trauma Support,"-£1,050.00"
Manchester City Council,Regeneration Finance,Water - Metered,24/10/2024,1700178176,Anglian Water Business (National),"-£1,059.73"
Manchester City Council,Adult Social Care,Perm Res Home Care,25/10/2024,1700178306,Bradmere Residential Care Home,"-£1,061.42"
Manchester City Council,Corporate Services,Elec Car Lease,31/10/2024,1700178066,Northumbria Healthcare NHS FT,"-£1,063.15"
Manchester City Council,Adult Social Care,Temp Care- Resident,25/10/2024,1700178425,The Broughtons,"-£1,073.68"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178375,Oak Bank Care Home,"-£1,076.67"
Manchester City Council,Adult Social Care,Perm Res Home Care,25/10/2024,1908616359,Royley House,"-£1,078.36"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178383,Oak Bank Care Home,"-£1,099.94"
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,04/10/2024,5105953239,Standard Fuels Oils,"-£1,111.81"
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,15/10/2024,1700177617,Manchester Early Learning Centre,"-£1,131.30"
Manchester City Council,Adult Social Care,Home Care ,17/10/2024,1700178118,Homecare Support,"-£1,148.85"
Manchester City Council,Childrens & Education Services,Foster Payments,02/10/2024,1700177134,Redacted Personal Information,"-£1,154.00"
Manchester City Council,Regeneration Finance,Water - Metered,24/10/2024,1700178168,Anglian Water Business (National),"-£1,163.35"
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,31/10/2024,5105957793,Pts Plumbing Trade Supplies,"-£1,167.51"
Manchester City Council,Adult Social Care,Payments for services,08/10/2024,5105953659,Shardale St Annes Ltd,"-£1,178.57"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908616135,Chataway Nursing Home,"-£1,217.44"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178370,Oak Bank Care Home,"-£1,219.08"
Manchester City Council,Manchester Leisure,Electricity,10/10/2024,1700177805,Haven Power Ltd,"-£1,239.75"
Manchester City Council,Not assigned,VAT Input Tax,10/10/2024,1700177765,Haven Power Ltd,"-£1,250.08"
Manchester City Council,Adult Social Care,RNH Permanent Pays,31/10/2024,1700178600,Wellington Healthcare (Arden) Ltd,"-£1,262.56"
Manchester City Council,Adult Social Care,Perm Res Home Care,25/10/2024,1908616378,St Bonaventures,"-£1,267.60"
Manchester City Council,Hospitality + Trading Services,Security,25/10/2024,5105956570,Dante Fire & Security Ltd,"-£1,271.88"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178316,Doves Nest Ltd,"-£1,283.13"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178318,Doves Nest Ltd,"-£1,283.13"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178319,Doves Nest Ltd,"-£1,283.13"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178320,Doves Nest Ltd,"-£1,283.13"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178317,Doves Nest Ltd,"-£1,283.13"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178321,Doves Nest Ltd,"-£1,283.13"
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,31/10/2024,5105957670,Rexel UK Ltd,"-£1,292.28"
Manchester City Council,Not assigned,VAT Input Tax,10/10/2024,1700177750,Haven Power Ltd,"-£1,292.96"
Manchester City Council,Childrens & Education Services,Foster Payments,07/10/2024,1700177681,Redacted Personal Information,"-£1,314.00"
Manchester City Council,Adult Social Care,Temp Care- Resident,01/10/2024,1908590350,The Broughtons,"-£1,342.13"
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,01/10/2024,5105952303,Cornflower Ltd,"-£1,347.00"
Manchester City Council,Corporate Services,Agency staff provision,07/10/2024,5105953455,Liquid Personnel Ltd,"-£1,359.75"
Manchester City Council,Adult Social Care,Temp Care - Nursing,25/10/2024,1700178314,Cherry Trees Care Home,"-£1,395.63"
Manchester City Council,Highways Services,Professional fees,30/10/2024,5105957437,Waterman Infrastructure and,"-£1,406.25"
Manchester City Council,Manchester Leisure,Professional fees,31/10/2024,5105957581,Solon Security Ltd,"-£1,407.60"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178383,Oak Bank Care Home,"-£1,408.24"
Manchester City Council,Adult Social Care,Funeral and coroner related services,03/10/2024,5105952678,Greater Manchester Funeral Service,"-£1,427.00"
Manchester City Council,Manchester Leisure,Equipment,22/10/2024,5105956184,Portakabin Ltd,"-£1,430.02"
Manchester City Council,Not assigned,VAT Input Tax,24/10/2024,1700178185,SEFE ENERGY Ltd,"-£1,453.86"
Manchester City Council,Adult Social Care,Perm Res Home Care,01/10/2024,1908590345,Park View Care Home,"-£1,454.87"
Manchester City Council,Adult Social Care,Perm Res Home Care,25/10/2024,1908616325,Park View Care Home,"-£1,454.87"
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,08/10/2024,5105953623,WMB (Installations) Ltd,"-£1,457.63"
Manchester City Council,Manchester Leisure,Professional fees,19/10/2024,1908611263,Diversity Travel Ltd,"-£1,474.23"
Manchester City Council,Not assigned,VAT Input Tax,24/10/2024,1700178186,SEFE ENERGY Ltd,"-£1,484.21"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178356,Redacted Personal Information,"-£1,485.71"
Manchester City Council,Corporate Services,Agency staff provision,07/10/2024,5105953454,Liquid Personnel Ltd,"-£1,487.50"
Manchester City Council,Manchester Leisure,Rents,31/10/2024,5105954693,Kramer & Company Properties,"-£1,490.00"
Manchester City Council,Regeneration Finance,Agency staff provision,09/10/2024,5105953905,Redacted Personal Information,"-£1,500.00"
Manchester City Council,Childrens & Education Services,Grounds Maintenance,22/10/2024,5105955989,Arboricultural Services Treework,"-£1,500.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1908616256,Redacted Personal Information,"-£1,511.02"
Manchester City Council,Corporate Services,Electricity,10/10/2024,1700177764,Haven Power Ltd,"-£1,539.30"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178333,Gorton Parks Res.& Nursing Home,"-£1,546.72"
Manchester City Council,Adult Social Care,Perm Res Home Care,25/10/2024,1908616376,Standwalk Ltd,"-£1,559.40"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178298,Averill House,"-£1,561.02"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178299,Averill House,"-£1,561.02"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178297,Averill House,"-£1,561.02"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178300,Averill House,"-£1,561.02"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178371,Oak Bank Care Home,"-£1,571.78"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178374,Oak Bank Care Home,"-£1,571.78"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178373,Oak Bank Care Home,"-£1,571.78"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178372,Oak Bank Care Home,"-£1,571.78"
Manchester City Council,Regeneration Finance,Supporting People Payments,31/10/2024,5105956547,Migrant Support,"-£1,580.00"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908616302,Moston Grange,"-£1,600.00"
Manchester City Council,Corporate Services,Electricity,10/10/2024,1700177762,Haven Power Ltd,"-£1,616.33"
Manchester City Council,Adult Social Care,Temp Care - Nursing,25/10/2024,1700178393,Rose Court Nursing & Residential,"-£1,622.47"
Manchester City Council,Adult Social Care,Temp Care - Nursing,25/10/2024,1700178392,Rose Court Nursing & Residential,"-£1,622.47"
Manchester City Council,Adult Social Care,Temp Care - Nursing,25/10/2024,1908616350,Rose Court Nursing & Residential,"-£1,626.82"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178296,Averill House,"-£1,627.67"
Manchester City Council,Childrens & Education Services,Bed & Breakfast Acc,31/10/2024,1908621761,AIRBNB * HMNJSCXNM8,"-£1,633.62"
Manchester City Council,Adult Social Care,Professional fees,23/10/2024,5105956416,Prepaid Financial Services Limited,"-£1,637.07"
Manchester City Council,Adult Social Care,Temp Care - Nursing,25/10/2024,1908616351,Rose Court Nursing & Residential,"-£1,639.81"
