Body Name,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Childrens & Education Services,Transport Coach Hire,12/11/2024,5105959697,APTSL,"£261,984.69"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,11/11/2024,5105957779,University Of Manchester,"£260,001.00"
Manchester City Council,Childrens Services,Building Works,29/11/2024,5105963377,Abraham Moss Comm. School Academy,"£258,505.08"
Manchester City Council,Adult Social Care,Payments for services,11/11/2024,5105958036,Big Life Centres,"£245,101.42"
Manchester City Council,Adult Social Care,Payments for services,04/11/2024,5105958037,Big Life Centres,"£245,101.42"
Manchester City Council,Highways Services,Electricity,14/11/2024,1908636280,Haven Power Ltd,"£240,540.78"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,11/11/2024,5105959289,Purcell Architecture Limited,"£239,086.50"
Manchester City Council,Manchester Leisure,Bed & Breakfast Acc,28/11/2024,5105963347,Redacted Personal Information,"£236,500.00"
Manchester City Council,Corporate Services,Internal Repairs and Maintenance for buildings,28/11/2024,5105961664,EQUANS Services Limited,"£235,017.70"
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,29/11/2024,1908657440, Birchall Blackburn Law,"£235,000.00"
Manchester City Council,Environment and Operations,Construction Works,29/11/2024,5105961743,Rosgal Ltd,"£232,107.42"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105958874,EQUANS Regeneration Limited,"£229,414.65"
Manchester City Council,Hospitality + Trading Services,Compensation Payments,11/11/2024,1908623665,Thompsons Solicitors,"£228,787.00"
Manchester City Council,Manchester Leisure,Rents,22/11/2024,5105961955,Mack Residential Letting Ltd,"£210,580.30"
Manchester City Council,Childrens & Education Services,Payments for services,14/11/2024,5105960440,St John Vianney School,"£205,035.48"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,25/11/2024,5105960590,EQUANS Regeneration Limited,"£203,150.76"
Manchester City Council,Manchester Leisure,Rents,27/11/2024,5105962870,Mack Residential Letting Ltd,"£202,522.19"
Manchester City Council,Corporate Services,Heart of Manc Bid,29/11/2024,5105961620,Heart of Manchester BID Co Ltd,"£201,025.48"
Manchester City Council,Highways Services,Electricity,14/11/2024,1908636279,Haven Power Ltd,"£200,752.58"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,25/11/2024,5105961454,Warden Construction Ltd,"£197,819.98"
Manchester City Council,Corporate Services,Elec Car Lease,19/11/2024,1908638448,Northumbria Healthcare NHS FT,"£197,427.39"
Manchester City Council,Corporate Services,Internal Repairs and Maintenance for buildings,22/11/2024,5105961485,EQUANS Services Limited,"£195,336.32"
Manchester City Council,Adult Social Care,Payments for services,13/11/2024,5105960046,Standwalk Ltd,"£195,032.17"
Manchester City Council,Highways Services,Professional fees,14/11/2024,5105958934,Transport for Greater Manchester,"£181,918.32"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,29/11/2024,5105957859,Edstart Specialist Education Ltd,"£181,000.01"
Manchester City Council,Childrens & Education Services,Home Care ,05/11/2024,5105958088,Belmont School Ltd,"£178,818.45"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105960380,EQUANS Regeneration Limited,"£178,812.85"
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,28/11/2024,5105962865,Rowlinson Constructions Ltd,"£178,480.56"
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,12/11/2024,5105958725,Next Energy Solutions Ltd,"£174,814.37"
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,12/11/2024,5105959597,Next Energy Solutions Ltd,"£174,814.37"
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,28/11/2024,5105963126,Next Energy Solutions Ltd,"£174,814.37"
Manchester City Council,Housing Revenue Account,Council Dwelling Fees,22/11/2024,5105960965,Emanuel Whittaker Ltd,"£174,637.84"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105959213,EQUANS Regeneration Limited,"£173,402.64"
Manchester City Council,Adult Social Care,Supported Accommodation,19/11/2024,1908638670,Zeno Ltd,"£171,692.80"
Manchester City Council,Corporate Services,Elec Car Lease,01/11/2024,1908623682,Northumbria Healthcare NHS FT,"£166,732.07"
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,29/11/2024,1908656279,CAPSTICKS LLP,"£165,000.00"
Manchester City Council,Childrens & Education Services,Payments for services,12/11/2024,5105959580,Hopwood Hall College,"£164,916.00"
Manchester City Council,Libraries and Theatres,Works and associated costs for Land and Buildings,18/11/2024,5105959115,Conlon Construction Ltd,"£161,868.40"
Manchester City Council,Manchester Leisure,Rents,27/11/2024,5105962862,Manchester Bumblebee Ltd,"£161,421.14"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,05/11/2024,5105958216,Central Mcr Uni Hospital t/a,"£161,341.00"
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,19/11/2024,5105960970,P Casey & Co Ltd,"£161,265.52"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,11/11/2024,5105957953,Belmont School Ltd,"£160,722.09"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105960378,EQUANS Regeneration Limited,"£158,881.76"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,05/11/2024,5105958257,Westfield Minibuses,"£151,878.75"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,28/11/2024,5105960321,Redacted Personal Information,"£150,330.00"
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,18/11/2024,5105959869,Warden Construction Ltd,"£149,020.18"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,11/11/2024,5105959118,Westfield Minibuses,"£148,905.50"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,29/11/2024,5105961517,EQUANS Regeneration Limited,"£148,707.96"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,25/11/2024,5105960690,Alined Construction Ltd,"£144,816.70"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,29/11/2024,5105962456,Change Grow Live Services Ltd,"£143,766.97"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,06/11/2024,5105958322,NHS GREATER MANCHESTER ICB,"£143,612.77"
Manchester City Council,Manchester Leisure,Professional Fees,27/11/2024,5105962189,Thomasons,"£142,741.75"
Manchester City Council,Corporate Services,Payments to Contractors,18/11/2024,5105960687,NSL Ltd,"£142,524.68"
Manchester City Council,Corporate Services,Payments to Contractors,18/11/2024,5105960683,NSL Ltd,"£142,524.68"
Manchester City Council,Corporate Services,Security,29/11/2024,5105962423,MITIE SECURITY LIMITED,"£141,762.42"
Manchester City Council,Corporate Services,Security,25/11/2024,5105960488,MITIE SECURITY LIMITED,"£141,489.96"
Manchester City Council,Corporate Services,Security,18/11/2024,5105960152,MITIE SECURITY LIMITED,"£140,815.59"
Manchester City Council,Manchester Leisure,Bed & Breakfast Acc,07/11/2024,5105958744,VSPG Housing 2 Ltd,"£138,140.91"
Manchester City Council,Corporate Services,Preventative Maintenance Work,29/11/2024,5105962231,EQUANS Services Limited,"£136,130.57"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,21/11/2024,5105961328,Manchester Young Lives,"£130,484.00"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,29/11/2024,5105962995,Pure Innovations Ltd,"£130,042.40"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,19/11/2024,5105960955,Navigators College,"£128,191.60"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,13/11/2024,1908633100,Great Minds Together Ltd,"£127,100.00"
Manchester City Council,Environment and Operations,Construction Works,28/11/2024,5105961522,A.E Yates Ltd,"£126,799.52"
Manchester City Council,Libraries and Theatres,Works and associated costs for Land and Buildings,29/11/2024,5105961511,Robertson CE Limited,"£126,572.80"
Manchester City Council,Chief Executives,Grant and subscriptions awarded,13/11/2024,5105959881,Manchester International Festival,"£125,000.00"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105959212,EQUANS Regeneration Limited,"£124,439.59"
Manchester City Council,Hospitality + Trading Services,Refuse Collection,11/11/2024,5105958130,Biffa Municipal Limited,"£123,720.34"
Manchester City Council,Manchester Leisure,Rents,29/11/2024,5105962451,Manchester Housing Group Ltd,"£120,262.90"
Manchester City Council,Manchester Leisure,Disposables,25/11/2024,5105962185,Redgate Holdings Ltd,"£119,876.10"
Manchester City Council,Adult Social Care,Supported Accommodation,19/11/2024,1908638670,Zeno Ltd,"£119,610.24"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,29/11/2024,5105963134,Central Mcr Uni Hospital t/a,"£117,827.78"
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,13/11/2024,5105959902,Nacro,"£117,306.00"
Manchester City Council,Manchester Leisure,Tipping - Tonnage,25/11/2024,5105962182,Redgate Holdings Ltd,"£115,271.90"
Manchester City Council,Manchester Leisure,Bed & Breakfast Acc,04/11/2024,5105957903,T15 Consultancy Ltd,"£113,657.14"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642581,Springcare (Wythenshaw) LTD,"£113,416.00"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630055,Great Minds Together Ltd,"£111,500.00"
Manchester City Council,Corporate Services,Grant and subscriptions awarded,29/11/2024,5105961456,Manchester Alliance For,"£110,000.00"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630039,Enabling Futures Ltd,"£108,655.15"
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,21/11/2024,5105961346,J Greenwood (Builders) Limited,"£107,930.04"
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,29/11/2024,5105963665,HOME,"£105,699.50"
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,11/11/2024,5105957918,HOME,"£105,699.50"
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,28/11/2024,5105962888,Love Withington Baths,"£105,685.00"
Manchester City Council,Childrens & Education Services,Professional fees,15/11/2024,5105960387,Greater Manchester Immigration Aid,"£104,250.00"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105960377,EQUANS Regeneration Limited,"£103,415.58"
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,21/11/2024,5105960181,Warden Construction Ltd,"£102,987.66"
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,13/11/2024,5105959576,Central Mcr Uni Hospital t/a,"£102,296.00"
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,19/11/2024,5105959745,Faithful & Gould Ltd,"£101,439.03"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,06/11/2024,5105958299,Manchester Youth Zone - East,"£100,000.00"
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,14/11/2024,5105959894,The Depaul Trust,"£100,000.00"
Manchester City Council,Manchester Leisure,Rents,22/11/2024,5105961895,Accommodation Links Ltd,"£98,459.29"
Manchester City Council,Chief Executives,Printing,05/11/2024,5105958286,Quadient UK Ltd (Consumables),"£97,837.64"
Manchester City Council,Corporate Services,Preventative Maintenance Work,12/11/2024,5105958011,EQUANS Services Limited,"£96,936.69"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,29/11/2024,5105961514,SSG Sustainable Living,"£95,928.00"
Manchester City Council,Childrens & Education Services,Private Finance and Public Private partnership initiatives,15/11/2024,5105959801,NU3PS,"£95,713.62"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105959211,EQUANS Regeneration Limited,"£95,510.59"
Manchester City Council,Corporate Services,Electricity,14/11/2024,1908635935,M\cr Heat Network Supply Co Ltd,"£94,726.35"
Manchester City Council,Manchester Leisure,Rents,26/11/2024,5105962673,Accommodation Links Ltd,"£94,311.29"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,19/11/2024,5105961003,24x7 Ltd,"£93,071.13"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642531,Enabling Futures Ltd,"£92,230.28"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,29/11/2024,5105961782,The Manchester College,"£92,026.08"
Manchester City Council,Manchester Leisure,Rents,13/11/2024,5105959807,Accommodation Links Ltd,"£91,907.29"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630040,Enabling Futures Ltd,"£91,014.36"
Manchester City Council,Corporate Services,Third party payments to Health Authority,28/11/2024,5105963157,Manchester Care & Repair Ltd,"£90,000.00"
Manchester City Council,Manchester Leisure,Rents,01/11/2024,5105957855,MJ Rental Ltd,"£88,582.57"
Manchester City Council,Not assigned,VAT Output Tax-MA,05/11/2024,1908625902,HM Revenue & Customs,"£88,483.00"
Manchester City Council,Adult Social Care,Temp Care - Nursing,22/11/2024,1908642581,Springcare (Wythenshaw) LTD,"£87,360.45"
Manchester City Council,Housing General Fund,Building Works,21/11/2024,5105961502,Wythenshawe Community Housing Group,"£87,181.70"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,21/11/2024,5105961452,24x7 Ltd,"£87,123.27"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,21/11/2024,5105961662,Manchester Young Lives,"£86,494.00"
Manchester City Council,Libraries and Theatres,Works and associated costs for Land and Buildings,29/11/2024,5105961511,Robertson CE Limited,"£86,375.61"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,29/11/2024,5105963161,Central Mcr Uni Hospital t/a,"£86,216.33"
Manchester City Council,Regeneration Finance,Equipment,29/11/2024,1908647625,Southend-on-Sea City Council,"£85,297.20"
Manchester City Council,Manchester Leisure,Rents,14/11/2024,5105959809,Accommodation Links Ltd,"£85,267.86"
Manchester City Council,Childrens & Education Services,Payments for services,11/11/2024,5105958726,St John Vianney School,"£85,070.84"
Manchester City Council,Manchester Leisure,Refuse Collection,25/11/2024,5105962186,Redgate Holdings Ltd,"£84,477.00"
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,21/11/2024,5105961455,The Bridgewater Hall,"£84,245.25"
Manchester City Council,Environment and Operations,Construction Works,29/11/2024,5105963037,J.Hopkins (Contractors) Ltd.,"£83,979.70"
Manchester City Council,Corporate Services,Landline Telephone,05/11/2024,1908622991,BT PLC,"£81,489.04"
Manchester City Council,Manchester Leisure,Bed & Breakfast Acc,07/11/2024,5105958712,District Homes Cic,"£80,845.95"
Manchester City Council,Manchester Leisure,Professional Fees,08/11/2024,5105958961,Redacted Personal Information,"£80,458.41"
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,06/11/2024,5105958446,Citizens Advice Manchester,"£79,983.00"
Manchester City Council,Chief Executives,Legal Fees,08/11/2024,5105959108,Weightmans LLP Solicitors,"£79,247.50"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,15/11/2024,5105960462,Manchester Care & Repair Ltd,"£78,703.00"
Manchester City Council,Environment and Operations,Construction Works,29/11/2024,5105961297,J.Hopkins (Contractors) Ltd.,"£77,652.91"
Manchester City Council,Corporate Services,Fees,19/11/2024,1908634749,Newlyn Plc,"£76,132.00"
Manchester City Council,Corporate Services,Preventative Maintenance Work,18/11/2024,5105959157,EQUANS Services Limited,"£75,713.01"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,15/11/2024,5105960588,Purcell Architecture Limited,"£75,599.00"
Manchester City Council,Environment and Operations,Construction Works,25/11/2024,5105960124,J.Hopkins (Contractors) Ltd.,"£75,264.47"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,13/11/2024,5105959698,The Together Trust,"£75,000.00"
Manchester City Council,Chief Executives,Construction Works,14/11/2024,5105959827,Pell Frischmann Consultants Ltd,"£74,691.78"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,28/11/2024,5105960973,M Travel,"£74,116.00"
Manchester City Council,Adult Social Care,Extra Care Sheltd HP,19/11/2024,1908638660,Chrysalis Home Care Group Ltd,"£74,060.00"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,05/11/2024,5105958427,H Jenkinson & Co Ltd.,"£72,843.81"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,05/11/2024,5105958428,H Jenkinson & Co Ltd.,"£72,843.81"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,05/11/2024,5105958429,H Jenkinson & Co Ltd.,"£72,843.80"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,05/11/2024,5105958430,H Jenkinson & Co Ltd.,"£72,843.80"
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,29/11/2024,5105962590,Winners Contract Hire Ltd,"£72,118.34"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,21/11/2024,5105961458,Chatsworth Futures Specialist,"£71,367.16"
Manchester City Council,Childrens & Education Services,Grant and subscriptions awarded,19/11/2024,5105960939,Remedi,"£70,900.00"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,28/11/2024,5105963146,Central Mcr Uni Hospital t/a,"£70,833.33"
Manchester City Council,Adult Social Care,Temp Care - Nursing,22/11/2024,1908642606,Serence HC UK Ltd,"£70,642.32"
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,07/11/2024,5105958792,"Jackson, Jackson & Sons Ltd","£70,313.71"
Manchester City Council,Childrens & Education Services,Supported Accommodation,14/11/2024,5105960326,Mosscare Housing Ltd,"£70,250.83"
Manchester City Council,Manchester Leisure,Refuse Collection,18/11/2024,5105960759,Biffa Municipal Limited,"£69,997.79"
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,13/11/2024,5105959870,The Children'S Society Services Ltd,"£69,953.88"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,21/11/2024,5105961345,M Travel,"£69,734.00"
Manchester City Council,Chief Executives,Professional fees,29/11/2024,5105963040,Shelter,"£69,714.76"
Manchester City Council,Chief Executives,Professional fees,28/11/2024,5105963165,Shelter,"£69,714.76"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630066,Holden Knight Healthcare Temp Ltd,"£69,406.83"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630067,Holden Knight Healthcare Temp Ltd,"£69,406.52"
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,27/11/2024,5105962153,Riverside ECHG,"£68,339.40"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,27/11/2024,5105962575,VoiceAbility,"£68,304.17"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,29/11/2024,5105963104,Central Mcr Uni Hospital t/a,"£65,569.67"
Manchester City Council,Manchester Leisure,Rents,22/11/2024,5105961925,Devon Homes,"£65,460.00"
Manchester City Council,Environment and Operations,Construction Works,29/11/2024,5105963088,J.Hopkins (Contractors) Ltd.,"£65,263.10"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105959129,EQUANS Regeneration Limited,"£65,100.15"
Manchester City Council,Regeneration Finance,Third party payments relating to Voluntary Organisations,29/11/2024,5105963364,Manchester Young Lives,"£65,100.00"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,28/11/2024,5105960286,Kaberry Construction Ltd,"£65,090.86"
Manchester City Council,Childrens & Education Services,Subsistence and Conference Expenses,18/11/2024,5105959377,Career Connect,"£64,489.11"
Manchester City Council,Childrens & Education Services,Subsistence and Conference Expenses,07/11/2024,5105958926,Career Connect,"£64,489.11"
Manchester City Council,Chief Executives,Grant and subscriptions awarded,29/11/2024,5105962571,Shelter,"£64,225.00"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,19/11/2024,5105960975,IncludED Learning Ltd,"£64,203.36"
Manchester City Council,Manchester Leisure,Security,29/11/2024,5105963723,G4S Secure Solutions (UK) Ltd,"£63,939.56"
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,26/11/2024,5105962440,"Jackson, Jackson & Sons Ltd","£63,528.07"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,29/11/2024,1908634762,CityFibre Limited,"£63,370.61"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,13/11/2024,1700179112,CityFibre Limited,"£63,370.61"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642599,Silverdene Residential Home Ltd,"£62,487.20"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,28/11/2024,5105959982,Faithful & Gould Ltd,"£61,903.63"
Manchester City Council,Chief Executives,Professional fees,25/11/2024,5105961270,Manchester International Festival,"£61,604.45"
Manchester City Council,Environment and Operations,Construction Works,25/11/2024,5105960119,J.Hopkins (Contractors) Ltd.,"£61,579.77"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630065,Holden Knight Healthcare Temp Ltd,"£61,557.94"
Manchester City Council,Manchester Leisure,Security,13/11/2024,5105959845,G4S Secure Solutions (UK) Ltd,"£61,496.65"
Manchester City Council,Environment and Operations,Construction Works,29/11/2024,5105963035,J.Hopkins (Contractors) Ltd.,"£60,770.71"
Manchester City Council,Manchester Leisure,Contract Cleaning External,11/11/2024,5105958145,Biffa Municipal Limited,"£60,614.94"
Manchester City Council,Manchester Leisure,Contract Cleaning External,11/11/2024,5105958144,Biffa Municipal Limited,"£60,614.94"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,15/11/2024,5105960589,Purcell Architecture Limited,"£60,548.75"
